"Activity, Exercise or Sport (1 hour)",58.967,70.306,81.646,92.986,Calories per kg,,,,
"Cycling, mountain bike, bmx",502,598,695,791,8.509481638,8.513236217,8.505675191,8.512358229,8.506656916
"Cycling, <10 mph, leisure bicycling",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
"Cycling, >20 mph, racing",944,1126,1308,1489,16.01455022,16.00895416,16.01570278,16.02038067,16.01316327
"Cycling, 10-11.9 mph, light",354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
"Cycling, 12-13.9 mph, moderate",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Cycling, 14-15.9 mph, vigorous",590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
"Cycling, 16-19 mph, very fast, racing",708,844,981,1117,12.00980687,12.00671562,12.00466532,12.0152855,12.01256103
Unicycling,295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
"Stationary cycling, very light",177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Stationary cycling, light",325,387,449,512,5.505405566,5.511557312,5.504508861,5.499350856,5.506205235
"Stationary cycling, moderate",413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Stationary cycling, vigorous",620,739,858,977,10.51032232,10.51435549,10.51119392,10.50878181,10.50695804
"Stationary cycling, very vigorous",738,880,1022,1163,12.51422499,12.51547476,12.51671266,12.5174534,12.50725916
"Calisthenics, vigorous, pushups, situpS",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Calisthenics, light",207,246,286,326,3.504564889,3.510438042,3.498990129,3.502927271,3.505904115
"Circuit training, minimal rest",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Weight lifting, body building, vigorous",354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
"Weight lifting, light workout",177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
Health club exercise,325,387,449,512,5.505405566,5.511557312,5.504508861,5.499350856,5.506205235
Stair machine,531,633,735,838,9.005730796,9.005036715,9.00349899,9.002278128,9.01210935
"Rowing machine, light",207,246,286,326,3.504564889,3.510438042,3.498990129,3.502927271,3.505904115
"Rowing machine, moderate",413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Rowing machine, vigorous",502,598,695,791,8.509481638,8.513236217,8.505675191,8.512358229,8.506656916
"Rowing machine, very vigorous",708,844,981,1117,12.00980687,12.00671562,12.00466532,12.0152855,12.01256103
Ski machine,413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Aerobics, low impact",295,352,409,465,5.004916749,5.002798175,5.006685062,5.009430958,5.000752801
"Aerobics, high impact",413,493,572,651,7.005757426,7.003917445,7.012203795,7.005854543,7.001053922
"Aerobics, step aerobics",502,598,695,791,8.509481638,8.513236217,8.505675191,8.512358229,8.506656916
"Aerobics, general",384,457,531,605,6.505578962,6.512116947,6.500156459,6.503686647,6.506355795
Jazzercise,354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
"Stretching, hatha yoga",236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
Mild stretching,148,176,204,233,2.504391493,2.509878407,2.503342531,2.49859148,2.505753554
Instructing aerobic class,354,422,490,558,6.002028146,6.00335781,6.00233266,6.001518752,6.000903362
Water aerobics,236,281,327,372,4.001187469,4.00223854,3.996813928,4.005095167,4.000602241
"Ballet, twist, jazz, tap",266,317,368,419,4.508294169,4.510997677,4.508861264,4.507263062,4.506054675
"Ballroom dancing, slow",177,211,245,279,3.001014073,3.001678905,3.00116633,3.000759376,3.000451681
"Ballroom dancing, fast",325,387,449,512,5.505405566,5.511557312,5.504508861,5.499350856,5.506205235
"Running, 5 mph (12 minute mile)",472,563,654,745,8.008619399,8.00447708,8.007851392,8.010190334,8.011958789
"Running, 5.2 mph (11.5 minute mile)",531,633,735,838,9.005730796,9.005036715,9.00349899,9.002278128,9.01210935
"Running, 6 mph (10 min mile)",590,704,817,931,10.00946008,10.00559635,10.01337012,10.00661392,10.01225991
"Running, 6.7 mph (9 min mile)",649,774,899,1024,11.00963347,11.00615599,11.00901772,11.01094971,11.01241047
"Running, 7 mph (8.5 min mile)",679,809,940,1070,11.51049571,11.51491512,11.50684152,11.51311761,11.5071086
