Food_ID,Food,Serving,Calories,Calories/gram
1,Potato,1,1,1
2,Cabbage,1,15,1
3,Baked Beans,1,2,1
4,Artichoke,1,60,0.469
5,Arugula,1,1,0.5
6,Asparagus,1,2,0.167
7,Aubergine,1,115,0.251
8,Beetroot,1,35,0.427
9,Bell Pepper,1,15,0.205
10,Black Olives,1,2,0.741
11,Broccoli,1,207,0.34
12,Brussels Sprouts,1,8,0.421
13,Cabbage,1,227,0.25
14,Capsicum,1,12,0.267
15,Carrot,1,25,0.41
16,Cauliflower,1,3,0.231
17,Celery,1,6,0.15
18,Chard,1,9,0.188
19,Cherry Tomato,1,20,1
20,Chicory,1,38,0.717
21,Chinese Cabbage,1,134,0.16
22,Chives,1,1,0.333
23,Collard Greens,1,12,0.333
24,Corn,1,562,3.649
25,Courgette,1,33,0.168
26,Creamed Spinach,1,148,0.74
27,Cucumber,1,66,0.161
28,Eggplant,1,115,0.251
29,Endive,1,87,0.17
30,Fennel,1,73,0.312
31,Garlic,1,4,1.333
32,Gherkin,1,9,0.138
33,Gourd,1,108,0.14
34,Green Beans,1,34,0.309
35,Green Olives,1,2,0.741
36,Green Onion,1,5,0.333
37,Horseradish,1,7,0.467
38,Kale,1,33,0.493
39,Kohlrabi,1,108,0.27
40,Kumara,1,112,0.862
41,Leek,1,54,0.607
42,Lettuce,1,90,0.15
43,Mushrooms,1,1,0.185
44,Mustard Greens,1,15,0.268
45,Nori,1,1,0.385
46,Okra,1,4,0.333
47,Olives,1,2,0.741
48,Onion,1,34,0.4
49,Parsnips,1,128,0.753
50,Peas,1,79,0.806
51,Pepper,1,20,0.267
52,Potato,1,164,0.77
53,Pumpkin,1,51,0.26
54,Radishes,1,1,0.222
55,Red Cabbage,1,7,0.318
56,Rutabaga,1,147,0.381
57,Shallots,1,18,0.72
58,Spinach,1,78,0.229
59,Squash,1,88,0.449
60,Sweet Potato,1,112,0.862
61,Tomato,1,20,0.18
62,Turnip Greens,1,34,0.2
63,Turnips,1,34,0.279
64,Wasabi,1,184,1.089
65,Winter Squash,1,147,0.341
66,Zucchini,1,33,0.168
67,Acai,1,20,0.705
68,Apple,1,95,0.522
69,Applesauce,1,167,0.679
70,Apricot,1,17,0.486
71,Avocado,1,320,1.6
72,Banana,1,111,0.888
73,Blackberries,1,62,0.431
74,Blood Oranges,1,70,0.5
75,Blueberries,1,84,0.568
76,Cantaloupe,1,23,0.333
77,Cherries,1,4,0.5
78,Clementine,1,35,0.473
79,Cranberries,1,46,0.46
80,Currants,1,63,0.562
81,Custard Apple,1,136,1.007
82,Dates,1,20,2.817
83,Figs,1,37,0.74
84,Fruit salad,1,125,0.502
85,Grapes,1,104,0.689
86,Greengage,1,2,0.4
87,Guava,1,37,0.673
88,Jackfruit,1,143,0.947
89,Jujube,1,22,0.776
90,Kiwi,1,112,0.612
91,Lemon,1,17,0.293
92,Lime,1,20,0.299
93,Lychees,1,7,0.7
94,Mandarin Oranges,1,47,0.534
95,Mango,1,202,0.601
96,Minneola,1,70,0.642
97,Mulberries,1,60,0.429
98,Nectarine,1,66,0.44
99,Olives,1,2,0.741
100,Orange,1,62,0.473
101,Papaya,1,215,0.43
102,Passion Fruit,1,17,0.944
103,Peach,1,59,0.393
104,Pear,1,101,0.567
105,Persimmon,1,32,1.28
106,Physalis,1,2,0.4
107,Pineapple,1,453,0.501
108,Plantains,1,218,1.218
109,Plum,1,30,0.455
110,Pomegranate,1,234,0.83
111,Quince,1,52,0.565
112,Raisins,1,434,2.993
113,Rambutan,1,7,0.778
114,Raspberries,1,64,0.52
115,Rhubarb,1,11,0.216
116,Starfruit,1,28,0.308
117,Strawberries,1,49,0.322
118,Tamarind,1,5,2.5
119,Tangerine,1,47,0.534
120,Watermelon,1,86,0.301
121,Baby Back Ribs,1,360,2.59
122,Bacon and Eggs,1,539,2.519
123,Baked Beans,1,244,0.938
124,BBQ Ribs,1,360,2.553
125,Beef Stew,1,186,0.949
126,Biryani,1,484,1.76
127,Black Pudding,1,101,2.525
128,Black Rice,1,323,3.23
129,BLT,1,593,2.471
130,Brown Rice,1,670,3.622
131,Burrito,1,326,1.63
132,Butter Chicken,1,490,1.4
133,California Roll,1,33,0.943
134,Chicken Caesar Salad,1,392,1.269
135,Chicken Fried Steak,1,423,1.511
136,Chicken Marsala,1,2209,0.96
137,Chicken Parmesan,1,250,1.101
138,Chicken Pot Pie,1,673,2.228
139,Chicken Tikka Masala,1,195,0.809
140,Chili con Carne,1,266,1.051
141,Chimichanga,1,418,2.322
142,Cobb Salad,1,632,1.179
143,Collard Greens,1,13,0.289
144,Corn Dog,1,438,2.503
145,Corned Beef Hash,1,349,1.638
146,Cottage Pie,1,523,1.391
147,Dal,1,304,3.304
148,Deviled Eggs,1,62,2
149,Dim Sum,1,37,1.947
150,Dosa,1,287,0.66
151,Enchiladas,1,323,1.682
152,Fajita,1,290,1.169
153,Fish and Chips,1,585,1.95
154,Fried Rice,1,662,1.86
155,Fried Shrimp,1,75,2.778
156,Grilled Cheese Sandwich,1,392,2.882
157,Ham and Cheese Sandwich,1,352,2.411
158,Hummus,1,435,1.768
159,Jambalaya,1,250,1
160,Kebab,1,774,2.15
161,Lasagne,1,284,1.321
162,Mac and Cheese,1,699,3.698
163,Macaroni and Cheese,1,699,3.698
164,Mashed Potatoes,1,174,0.829
165,Meat Pie,1,290,2.417
166,Meatloaf,1,721,2.539
167,Naan,1,260,3.095
168,Orange Chicken,1,420,2.593
169,Pad Thai,1,375,1.5
170,Paella,1,200,1.562
171,Paratha,1,260,3.25
172,Pea Soup,1,190,0.751
173,Peanut Butter Sandwich,1,200,4.082
174,Peking Duck,1,401,2.253
175,Philly Cheese Steak,1,300,2.5
176,Pizza,1,272,2.667
177,Pork Chop,1,295,2.252
178,Potato Salad,1,136,1.432
179,Pulled Pork Sandwich,1,551,2.111
180,Ramen,1,380,4.471
181,Ravioli,1,134,2.03
182,Reuben Sandwich,1,641,2.081
183,Roast Beef,1,23,1.095
184,Roast Dinner,1,240,1.983
185,Samosa,1,107,2.14
186,Sausage Roll,1,361,3.505
187,Sausage Rolls,1,101,2.971
188,Shepherds Pie,1,159,0.7
189,Shrimp Cocktail,1,130,4.643
190,Sloppy Joe,1,101,0.711
191,Sloppy Joes,1,397,1.539
192,Spaghetti Bolognese,1,374,1.322
193,Spring Roll,1,350,2.5
194,Spring Rolls,1,350,2.5
195,Taco,1,213,2.173
196,Tandoori Chicken,1,198,1.131
197,Yorkshire Pudding,1,83,5.533
198,Amaranth,1,716,3.71
199,Barley,1,556,3.541
200,Barley Groats,1,31,1
201,Brown Rice,1,757,3.882
202,Buckwheat,1,583,3.429
203,Buckwheat Groats,1,567,3.457
204,Corn Waffles,1,110,2.75
205,Cornmeal,1,442,3.623
206,Cornstarch,1,488,3.812
207,Couscous,1,650,3.757
208,Cracker,1,35,5
209,Durum Wheat Semolina,1,119,3.967
210,Flaxseed,1,897,5.339
211,Freekeh,1,832,5.2
212,Gluten,1,104,3.714
213,Grissini,1,20,4
214,Kamut,1,627,3.371
215,Millet,1,484,3.781
216,Millet Flour,1,521,3.721
217,Millet Gruel,1,80,0.46
218,Oat Bran,1,231,2.457
219,Pearl Barley,1,553,3.522
220,Polenta,1,549,3.66
221,Prawn Crackers,1,16,5.333
222,Pretzel Sticks,1,46,3.833
223,Quinoa,1,626,3.682
224,Rusk,1,41,4.1
225,Rye Bran,1,422,2.813
226,Sago,1,99,3.536
227,Savoury Biscuits,1,139,3.475
228,Shortbread,1,95,5
229,Spelt,1,588,3.379
230,Spelt Bran,1,283,1.769
231,Spelt Semolina,1,601,3.599
232,Sunflower Seeds,1,818,5.843
233,Tortilla,1,467,2.371
234,Tortilla Chips,1,160,5
235,Wheat Bran,1,125,2.155
236,Wheat Germ,1,432,3.823
237,Wheat Gluten,1,10,3.333
238,Wheat Semolina,1,601,3.599
239,Wheat Starch,1,386,3.509
240,Whole Grain Wheat,1,407,3.392
241,Wholegrain Oat,1,300,3.75
242,Almond Oil,1,123,8.786
243,Apricot Kernel Oil,1,124,8.857
244,Argan Oil,1,125,8.929
245,Avocado Oil,1,120,8.571
246,Babassu Oil,1,124,8.857
247,Canola Oil,1,124,8.857
248,Coconut Oil,1,120,8.571
249,Corn Oil,1,120,8
250,Cottonseed Oil,1,123,8.786
251,Flaxseed Oil,1,124,8.857
252,Grape Seed Oil,1,124,8.857
253,Hazelnut Oil,1,124,8.857
254,Linseed Oil,1,117,8.357
255,Menhaden Oil,1,128,9.143
256,Mustard Oil,1,124,8.857
257,Oat Oil,1,124,8.857
258,Olive Oil,1,120,8
259,Palm Kernel Oil,1,123,8.786
260,Palm Oil,1,123,8.786
261,Peanut Oil,1,120,8.571
262,Poppy Seed Oil,1,124,8.857
263,Pumpkin Seed Oil,1,123,8.786
264,Rice Bran Oil,1,124,8.857
265,Safflower Oil,1,120,8.571
266,Salmon Oil,1,128,9.143
267,Sesame Oil,1,124,8.857
268,Shea Oil,1,124,8.857
269,Soy Oil,1,123,8.786
270,Sunflower Oil,1,124,8.857
271,Tomato Seed Oil,1,124,8.857
272,Vegetable Oil,1,120,8
273,Walnut Oil,1,124,8.857
274,Wheat Germ Oil,1,130,9.286
275,Alphabet Soup,1,62,0.25
276,Bean Stew,1,335,1.329
277,Beef Bouillon,1,7,0.029
278,Beef Noodle Soup,1,83,0.34
279,Beef Soup,1,70,0.329
280,Bouillon,1,39,0.16
281,Broccoli Cheese Soup,1,264,0.871
282,Broccoli Soup,1,206,0.869
283,Cabbage Soup,1,69,0.282
284,Carrot Ginger Soup,1,95,0.249
285,Carrot Soup,1,95,0.249
286,Chicken Bouillon,1,10,0.041
287,Chicken Broth,1,39,0.16
288,Chicken Gumbo Soup,1,56,0.23
289,Chicken Noodle Soup,1,62,0.25
290,Chicken Stock,1,39,0.16
291,Chicken Vegetable Soup,1,77,0.31
292,Chicken with Rice Soup,1,58,0.239
293,Cream of Asparagus Soup,1,85,0.348
294,Cream of Broccoli Soup,1,140,0.452
295,Cream of Celery Soup,1,92,0.371
296,Cream of Chicken Soup,1,117,0.48
297,Cream of Mushroom Soup,1,97,0.391
298,Cream of Onion Soup,1,107,0.439
299,Cream of Potato Soup,1,73,0.299
300,Creamy Chicken Noodle Soup,1,56,0.229
301,French Onion Soup,1,56,0.23
302,Golden Mushroom Soup,1,161,0.649
303,Goulash,1,1887,10.091
304,Instant Ramen,1,371,4.365
305,Lentil Soup,1,139,0.56
306,Lobster Bisque Soup,1,248,1
307,Meatball Soup,1,120,0.49
308,Minestrone,1,82,0.34
309,Mushroom Soup,1,85,0.348
310,Noodle Soup,1,83,0.34
311,Onion Soup,1,56,0.23
312,Oxtail Soup,1,68,0.279
313,Pea Soup,1,190,0.751
314,Potato Soup,1,192,0.8
315,Pumpkin Soup,1,71,0.29
316,Ramen,1,371,4.365
317,Scotch Broth,1,80,0.332
318,Succotash,1,221,1.151
319,Thai Soup,1,147,0.6
320,Tomato Rice Soup,1,116,0.47
321,Tomato Soup,1,74,0.298
322,Vegetable Beef Soup,1,76,0.311
323,Vegetable Broth,1,12,0.051
324,Vegetable Soup,1,67,0.278
325,Vegetable Stock,1,12,0.051
326,Wedding Soup,1,130,0.531
327,Baskin-Robbins,1,170,2.394
328,Ben and Jerry’s,1,210,2.283
329,Butter Pecan Ice Cream,1,280,2.478
330,Carvel,1,449,2.118
331,Chocolate Chip Ice Cream,1,155,2.153
332,Chocolate Ice Cream,1,156,2.167
333,Ciao Bella,1,240,1.091
334,Coffee Ice Cream,1,170,2.361
335,Cold Stone Creamery,1,329,2.317
336,Cookie Dough Ice Cream,1,130,2
337,Crunchie McFlurry,1,318,1.738
338,Dairy Milk McFlurry,1,340,1.858
339,Dippin Dots,1,381,2.241
340,Double Rainbow,1,185,2.569
341,Drumsticks,1,360,2.553
342,French Vanilla Ice Cream,1,145,2.014
343,Friendly’s,1,140,2.121
344,Healthy Choice,1,80,1.25
345,Hot Fudge Sundae,1,333,1.86
346,Ice Cream Sandwich,1,265,2.366
347,Ice Cream Sundae,1,253,1.421
348,Ice Milk,1,164,1.592
349,Magnolia,1,166,2.306
350,Magnum,1,258,3
351,Magnum Almond,1,271,3.151
352,Magnum Double Caramel,1,305,3.547
353,Magnum Double Chocolate,1,327,3.802
354,Magnum Gold,1,290,3.412
355,Magnum White,1,255,2.965
356,McFlurry,1,205,1.53
357,McFlurry Oreo,1,340,1.858
358,Mini Milk,1,30,1.2
359,Mint Chocolate Chip Ice Cream,1,172,2.389
360,Rocky Road Ice Cream,1,290,2.566
361,Schwan’s,1,177,2.458
362,Smarties McFlurry,1,400,1.98
363,Snickers Ice Cream,1,180,3.6
364,Soft Serve,1,191,2.221
365,Solero,1,75,1
366,Strawberry Ice Cream,1,170,2.361
367,Strawberry Sundae,1,281,1.579
368,Sundae,1,155,2.153
369,Turkey Hill,1,190,2.714
370,Vanilla Cone,1,230,1.62
371,Vanilla Ice Cream,1,145,2.014
372,Cannelloni,1,82,1.464
373,Capellini,1,198,3.536
374,Cappelletti,1,92,1.643
375,Cellophane Noodles,1,491,3.507
376,Cheese Tortellini,1,329,2.912
377,Dampfnudel,1,233,2.741
378,Dumpling Dough,1,55,0.982
379,Durum Wheat Semolina,1,222,3.964
380,Egg Noodles,1,146,3.842
381,Farfalle,1,200,3.571
382,Fettuccine,1,198,3.536
383,Fusilli,1,197,3.518
384,Glass Noodles,1,108,1.929
385,Lasagne Sheets,1,57,2.714
386,Linguine,1,200,3.571
387,Low Carb Pasta,1,158,2.821
388,Macaroni,1,422,3.702
389,Manicotti,1,200,3.571
390,Mostaccioli,1,103,1.839
391,Orecchiette,1,207,3.696
392,Orzo,1,200,3.571
393,Penne,1,197,3.518
394,Penne Rigate,1,207,3.696
395,Pierogi,1,200,2
396,Ravioli,1,43,0.768
397,Rigatoni,1,198,3.536
398,Rotini,1,198,3.536
399,Shells,1,300,3.529
