Food_ID,Food,Serving,Serving (g),Calories,Calories/gram
1,Artichoke,1 artichoke,128,60,0.469
2,Arugula,1 leaf,2,1,0.5
3,Asparagus,1 spear,12,2,0.167
4,Aubergine,1 aubergine,458,115,0.251
5,Beetroot,1 beet,82,35,0.427
6,Bell Pepper,1 pepper,73,15,0.205
7,Black Olives,1 olive,2.7,2,0.741
8,Broccoli,1 bunch,608,207,0.34
9,Brussels Sprouts,1 sprout,19,8,0.421
10,Cabbage,1 head,908,227,0.25
11,Capsicum,1 pepper,45,12,0.267
12,Carrot,1 carrot,61,25,0.41
13,Cauliflower,1 floweret,13,3,0.231
14,Celery,1 stalk,40,6,0.15
15,Chard,1 leaf,48,9,0.188
16,Cherry Tomato,1 cherry tomato,20,20,1
17,Chicory,1 head,53,38,0.717
18,Chinese Cabbage,1 head,840,134,0.16
19,Chives,"1 tbsp, chopped",3,1,0.333
20,Collard Greens,"1 cup, raw",36,12,0.333
21,Corn,1 cup,154,562,3.649
22,Courgette,1 courgette,196,33,0.168
23,Creamed Spinach,1 cup,200,148,0.74
24,Cucumber,1 cucumber,410,66,0.161
25,Eggplant,1 eggplant,458,115,0.251
26,Endive,1 head,513,87,0.17
27,Fennel,1 bulb,234,73,0.312
28,Garlic,1 clove,3,4,1.333
29,Gherkin,1 gherkin,65,9,0.138
30,Gourd,1 gourd,771,108,0.14
31,Green Beans,1 cup,110,34,0.309
32,Green Olives,1 olive,2.7,2,0.741
33,Green Onion,1 green onion,15,5,0.333
34,Horseradish,1 tbsp,15,7,0.467
35,Kale,"1 cup, chopped",67,33,0.493
36,Kohlrabi,1 kohlrabi,400,108,0.27
37,Kumara,1 kumara,130,112,0.862
38,Leek,1 leek,89,54,0.607
39,Lettuce,1 head,600,90,0.15
40,Mushrooms,1 mushroom,5.4,1,0.185
41,Mustard Greens,"1 cup, chopped",56,15,0.268
42,Nori,1 sheet,2.6,1,0.385
43,Okra,1 pod,12,4,0.333
44,Olives,1 olive,2.7,2,0.741
45,Onion,1 onion,85,34,0.4
46,Parsnips,1 parsnip,170,128,0.753
47,Peas,1 cup,98,79,0.806
48,Pepper,1 pepper,75,20,0.267
49,Potato,1 potato,213,164,0.77
50,Pumpkin,1 pumpkin,196,51,0.26
51,Radishes,1 radish,4.5,1,0.222
52,Red Cabbage,1 leaf,22,7,0.318
53,Rutabaga,1 rutabaga,386,147,0.381
54,Shallots,1 shallot,25,18,0.72
55,Spinach,1 bunch,340,78,0.229
56,Squash,1 squash,196,88,0.449
57,Sweet Potato,1 potato,130,112,0.862
58,Tomato,1 tomato,111,20,0.18
59,Turnip Greens,1 turnip green,170,34,0.2
60,Turnips,1 turnip,122,34,0.279
61,Wasabi,1 root,169,184,1.089
62,Winter Squash,1 squash,431,147,0.341
63,Zucchini,1 zucchini,196,33,0.168
64,Acai,1 oz.,28.35,20,0.705
65,Apple,1 apple,182,95,0.522
66,Applesauce,1 cup,246,167,0.679
67,Apricot,1 apricot,35,17,0.486
68,Avocado,1 avocado,200,320,1.6
69,Banana,1 banana,125,111,0.888
70,Blackberries,1 cup,144,62,0.431
71,Blood Oranges,1 serving,140,70,0.5
72,Blueberries,1 cup,148,84,0.568
73,Cantaloupe,1 wedge,69,23,0.333
74,Cherries,1 cherry,8,4,0.5
75,Clementine,1 clementine,74,35,0.473
76,Cranberries,1 cup,100,46,0.46
77,Currants,1 cup,112,63,0.562
78,Custard Apple,1 custard apple,135,136,1.007
79,Dates,1 date,7.1,20,2.817
80,Figs,1 fig,50,37,0.74
81,Fruit salad,1 cup,249,125,0.502
82,Grapes,1 cup,151,104,0.689
83,Greengage,1 fruit,5,2,0.4
84,Guava,1 guava,55,37,0.673
85,Jackfruit,1 cup,151,143,0.947
86,Jujube,1 oz.,28.35,22,0.776
87,Kiwi,1 liwi,183,112,0.612
88,Lemon,1 lemon,58,17,0.293
89,Lime,1 lime,67,20,0.299
90,Lychees,1 lychee,10,7,0.7
91,Mandarin Oranges,1 mandarin orange,88,47,0.534
92,Mango,1 mango,336,202,0.601
93,Minneola,1 minneola,109,70,0.642
94,Mulberries,1 cup,140,60,0.429
95,Nectarine,1 nectarine,150,66,0.44
96,Olivess,1 olive,2.7,2,0.741
97,Orange,1 orange,131,62,0.473
98,Papaya,1 fruit,500,215,0.43
99,Passion Fruit,1 passoin fruit,18,17,0.944
100,Peach,1 peach,150,59,0.393
101,Pear,1 pear,178,101,0.567
102,Persimmon,1 fruit,25,32,1.28
103,Physalis,1 berry,5,2,0.4
104,Pineapple,1 pineapple,905,453,0.501
105,Plantains,1 plantain,179,218,1.218
106,Plum,1 plum,66,30,0.455
107,Pomegranate,1 pomegranate,282,234,0.83
108,Quince,1 quince,92,52,0.565
109,Raisins,1 cup,145,434,2.993
110,Rambutan,1 rambutan,9,7,0.778
111,Raspberries,1 cup,123,64,0.52
112,Rhubarb,1 stalk,51,11,0.216
113,Starfruit,1 star fruit,91,28,0.308
114,Strawberries,1 cup,152,49,0.322
115,Tamarind,1 tamarind,2,5,2.5
116,Tangerine,1 tangerine,88,47,0.534
117,Watermelon,1 wedge,286,86,0.301
118,Baby Back Ribs,1 serving,139,360,2.59
119,Bacon and Eggs,1 serving,214,539,2.519
120,Baked Beans,1 cup,260,244,0.938
121,BBQ Ribs,1 rib,141,360,2.553
122,Beef Stew,1 cup,196,186,0.949
123,Biryani,1 cup,275,484,1.76
124,Black Pudding,1 pudding,40,101,2.525
125,Black Rice,1/2 cup,100,323,3.23
126,BLT,1 item,240,593,2.471
127,Brown Rice,1 cup,185,670,3.622
128,Burrito,1 burrito,200,326,1.63
129,Butter Chicken,1 tray,350,490,1.4
130,California Roll,1 roll,35,33,0.943
131,Chicken Caesar Salad,1 salad,309,392,1.269
132,Chicken Fried Steak,1 steak,280,423,1.511
133,Chicken Marsala,1 serving,2301,2209,0.96
134,Chicken Parmesan,1 piece,227,250,1.101
135,Chicken Pot Pie,1 pie,302,673,2.228
136,Chicken Tikka Masala,1 serving,241,195,0.809
137,Chili con Carne,1 cup,253,266,1.051
138,Chimichanga,1 item,180,418,2.322
139,Cobb Salad,1 serving,536,632,1.179
140,Collard Greenss,1 cup,45,13,0.289
141,Corn Dog,1 item,175,438,2.503
142,Corned Beef Hash,1 can,213,349,1.638
143,Cottage Pie,1 pie,376,523,1.391
144,Dal,1/2 cup,92,304,3.304
145,Deviled Eggs,1/2 egg,31,62,2
146,Dim Sum,1 piece,19,37,1.947
147,Dosa,1 serving,435,287,0.66
148,Enchiladas,1 enchilada,192,323,1.682
149,Fajita,1 serving,248,290,1.169
150,Fish and Chips,1 serving,300,585,1.95
151,Fried Rice,1 serving,356,662,1.86
152,Fried Shrimp,1 shrimp,27,75,2.778
153,Grilled Cheese Sandwich,1 sandwich,136,392,2.882
154,Ham and Cheese Sandwich,1 sandwich,146,352,2.411
155,Hummus,1 cup,246,435,1.768
156,Jambalaya,1 cup,250,250,1
157,Kebab,1 kebab,360,774,2.15
158,Lasagne,1 serving,215,284,1.321
159,Mac and Cheese,1 serving,189,699,3.698
160,Macaroni and Cheese,1 serving,189,699,3.698
161,Mashed Potatoes,1 cup,210,174,0.829
162,Meat Pie,1 pie,120,290,2.417
163,Meatloaf,1 loaf,284,721,2.539
164,Naan,1 bread,84,260,3.095
165,Orange Chicken,1 serving,162,420,2.593
166,Pad Thai,1 cup,250,375,1.5
167,Paella,1/2 package,128,200,1.562
168,Paratha,1 paratha,80,260,3.25
169,Pea Soup,1 cup,253,190,0.751
170,Peanut Butter Sandwich,1 sandwich,49,200,4.082
171,Peking Duck,1/2 duck,178,401,2.253
172,Philly Cheese Steak,1 sandwich,120,300,2.5
173,Pizza,1 slice,102,272,2.667
174,Pork Chop,1 chop,131,295,2.252
175,Potato Salad,1/3 cup,95,136,1.432
176,Pulled Pork Sandwich,1 sandwich,261,551,2.111
177,Ramen,"1 package, dry",85,380,4.471
178,Ravioli,5 ravioli,66,134,2.03
179,Reuben Sandwich,1 sandwich,308,641,2.081
180,Roast Beef,1 slice,21,23,1.095
181,Roast Dinner,1 slice,121,240,1.983
182,Samosa,1 samosa,50,107,2.14
183,Sausage Roll,1 roll,103,361,3.505
