LocationID,LocationName
1,Ang Mo Kio
2,Bedok
3,Bishan
4,Boon Lay
5,Bukit Batok
6,Bukit Merah
7,Bukit Panjang
8,Bukit Timah
9,Central Water Catchment
10,Changi
11,Choa Chu Kang
12,Clementi
13,City
14,Geylang
15,Hougang
16,Jalan Bahar
17,Jurong East
18,Jurong Island
19,Jurong West
20,Kallang
21,Lim Chu Kang
22,Mandai
23,Marine Parade
24,Novena
25,Pasir Ris
26,Paya Lebar
27,Pioneer
28,Pulau Tekong
29,Pulau Ubin
30,Punggol
31,Queenstown
32,Seletar
33,Sembawang
34,Sengkang
35,Sentosa
36,Serangoon
37,Southern Islands
38,Sungei Kadut
39,Tampines
40,Tanglin
41,Tengah
42,Toa Payoh
43,Tuas
44,Western Islands
45,Western Water Catchment
46,Woodlands
47,Yishun
